model,layer,has_pie,img_attention,inst_attention,sys_attention,out_attention,error
llava-v1.5-7b,1,True,0.196,0.469,0.335,0.000,
llava-v1.5-7b,2,True,0.049,0.367,0.585,0.000,
llava-v1.5-7b,3,True,0.008,0.022,0.970,0.000,
llava-v1.5-7b,4,True,0.005,0.022,0.973,0.000,
llava-v1.5-7b,5,True,0.004,0.031,0.965,0.000,
llava-v1.5-7b,6,True,0.004,0.037,0.959,0.000,
llava-v1.5-7b,7,True,0.004,0.034,0.962,0.000,
llava-v1.5-7b,8,True,0.004,0.041,0.954,0.000,
llava-v1.5-7b,9,True,0.004,0.051,0.945,0.000,
llava-v1.5-7b,10,True,0.004,0.069,0.927,0.000,
llava-v1.5-7b,11,True,0.005,0.093,0.902,0.000,
llava-v1.5-7b,12,True,0.006,0.073,0.921,0.000,
llava-v1.5-7b,13,True,0.005,0.085,0.910,0.000,
llava-v1.5-7b,14,True,0.005,0.083,0.912,0.000,
llava-v1.5-7b,15,True,0.007,0.096,0.896,0.000,
llava-v1.5-7b,16,True,0.006,0.098,0.896,0.000,
llava-v1.5-7b,17,True,0.006,0.088,0.906,0.000,
llava-v1.5-7b,18,True,0.005,0.052,0.943,0.000,
llava-v1.5-7b,19,True,0.005,0.047,0.948,0.000,
llava-v1.5-7b,20,True,0.005,0.046,0.949,0.000,
llava-v1.5-7b,21,True,0.005,0.040,0.955,0.000,
llava-v1.5-7b,22,True,0.004,0.024,0.972,0.000,
llava-v1.5-7b,23,True,0.004,0.027,0.969,0.000,
llava-v1.5-7b,24,True,0.003,0.029,0.968,0.000,
llava-v1.5-7b,25,True,0.004,0.027,0.969,0.000,
llava-v1.5-7b,26,True,0.003,0.013,0.983,0.000,
llava-v1.5-7b,27,True,0.004,0.033,0.964,0.000,
llava-v1.5-7b,28,True,0.002,0.023,0.974,0.000,
llava-v1.5-7b,29,True,0.003,0.020,0.978,0.000,
llava-v1.5-7b,30,True,0.004,0.030,0.966,0.000,
llava-v1.5-7b,31,True,0.003,0.026,0.971,0.000,
llava-v1.5-7b,32,True,0.009,0.082,0.909,0.000,
llava-v1.6-vicuna-7b,1,True,0.204,0.481,0.315,0.000,
llava-v1.6-vicuna-7b,2,True,0.040,0.262,0.699,0.000,
llava-v1.6-vicuna-7b,3,True,0.002,0.014,0.984,0.000,
llava-v1.6-vicuna-7b,4,True,0.002,0.012,0.986,0.000,
llava-v1.6-vicuna-7b,5,True,0.002,0.016,0.982,0.000,
llava-v1.6-vicuna-7b,6,True,0.002,0.020,0.978,0.000,
llava-v1.6-vicuna-7b,7,True,0.002,0.020,0.978,0.000,
llava-v1.6-vicuna-7b,8,True,0.002,0.019,0.979,0.000,
llava-v1.6-vicuna-7b,9,True,0.002,0.027,0.971,0.000,
llava-v1.6-vicuna-7b,10,True,0.002,0.033,0.965,0.000,
llava-v1.6-vicuna-7b,11,True,0.002,0.045,0.952,0.000,
llava-v1.6-vicuna-7b,12,True,0.002,0.032,0.965,0.000,
llava-v1.6-vicuna-7b,13,True,0.002,0.044,0.954,0.000,
llava-v1.6-vicuna-7b,14,True,0.002,0.038,0.960,0.000,
